itemId,title,category,distance,duration,nearby_places,url,p_rating,count,latitude,longitude,image_url
239,Bangalore Eco Trail 29,Wildlife,7.8 Km,1 hr,Bangalore Central Loop,/karnataka/bangalore/bangalore-eco-trail-29,4.3,1317,12.9677,77.6304,https://source.unsplash.com/featured/800x500/?Bangalore+Eco+Trail+29+bangalore+Wildlife+India+travel
240,Bangalore Temple Circuit 30,Spiritual,8.5 Km,1-2 hrs,Bangalore Central Loop,/karnataka/bangalore/bangalore-temple-circuit-30,4.3,1789,13.008,77.5491,https://source.unsplash.com/featured/800x500/?Bangalore+Temple+Circuit+30+bangalore+Spiritual+India+travel
241,Delhi Scenic Point 01,Scenic,2.7 Km,Half day,Delhi Central Loop,/delhi/delhi/delhi-scenic-point-01,4.5,853,28.6216,77.2275,https://source.unsplash.com/featured/800x500/?Delhi+Scenic+Point+01+delhi+Scenic+India+travel
242,Delhi Zipline Zone 02,Adventure,3.5 Km,30 min,Delhi Central Loop,/delhi/delhi/delhi-zipline-zone-02,4.5,776,28.5789,77.1773,https://source.unsplash.com/featured/800x500/?Delhi+Zipline+Zone+02+delhi+Adventure+India+travel
243,Delhi Sun Sand Bay 03,Beach,3.8 Km,1 hr,Delhi Central Loop,/delhi/delhi/delhi-sun-sand-bay-03,4.5,1066,28.62,77.2108,https://source.unsplash.com/featured/800x500/?Delhi+Sun+Sand+Bay+03+delhi+Beach+India+travel
244,Delhi Eco Trail 04,Wildlife,4.5 Km,1-2 hrs,Delhi Central Loop,/delhi/delhi/delhi-eco-trail-04,4.7,1262,28.6126,77.2374,https://source.unsplash.com/featured/800x500/?Delhi+Eco+Trail+04+delhi+Wildlife+India+travel
245,Delhi Temple Circuit 05,Spiritual,4.9 Km,2-3 hrs,Delhi Central Loop,/delhi/delhi/delhi-temple-circuit-05,4.6,778,28.6082,77.1559,https://source.unsplash.com/featured/800x500/?Delhi+Temple+Circuit+05+delhi+Spiritual+India+travel
246,Delhi Leisure Garden 06,Family,5.5 Km,Half day,Delhi Central Loop,/delhi/delhi/delhi-leisure-garden-06,4.7,1174,28.5926,77.218,https://source.unsplash.com/featured/800x500/?Delhi+Leisure+Garden+06+delhi+Family+India+travel
247,Delhi Craft Lane 07,Shopping,6.0 Km,30 min,Delhi Central Loop,/delhi/delhi/delhi-craft-lane-07,4.8,953,28.6685,77.2145,https://source.unsplash.com/featured/800x500/?Delhi+Craft+Lane+07+delhi+Shopping+India+travel
248,Delhi Market Bites 08,Food,6.5 Km,1 hr,Delhi Central Loop,/delhi/delhi/delhi-market-bites-08,4.3,1446,28.5866,77.1673,https://source.unsplash.com/featured/800x500/?Delhi+Market+Bites+08+delhi+Food+India+travel
249,Delhi Heritage Trail 09,Heritage,7.1 Km,1-2 hrs,Delhi Central Loop,/delhi/delhi/delhi-heritage-trail-09,4.6,938,28.6635,77.2299,https://source.unsplash.com/featured/800x500/?Delhi+Heritage+Trail+09+delhi+Heritage+India+travel
250,Delhi Legacy Lane 10,Historic,7.8 Km,2-3 hrs,Delhi Central Loop,/delhi/delhi/delhi-legacy-lane-10,4.5,600,28.6386,77.2614,https://source.unsplash.com/featured/800x500/?Delhi+Legacy+Lane+10+delhi+Historic+India+travel
251,Delhi Cultural House 11,Museum,8.2 Km,Half day,Delhi Central Loop,/delhi/delhi/delhi-cultural-house-11,4.6,1511,28.6505,77.1866,https://source.unsplash.com/featured/800x500/?Delhi+Cultural+House+11+delhi+Museum+India+travel
252,Delhi Forest View 12,Nature,8.7 Km,30 min,Delhi Central Loop,/delhi/delhi/delhi-forest-view-12,4.6,699,28.5728,77.159,https://source.unsplash.com/featured/800x500/?Delhi+Forest+View+12+delhi+Nature+India+travel
253,Delhi Scenic Point 13,Scenic,9.2 Km,1 hr,Delhi Central Loop,/delhi/delhi/delhi-scenic-point-13,4.6,1046,28.6291,77.2368,https://source.unsplash.com/featured/800x500/?Delhi+Scenic+Point+13+delhi+Scenic+India+travel
254,Delhi Zipline Zone 14,Adventure,9.8 Km,1-2 hrs,Delhi Central Loop,/delhi/delhi/delhi-zipline-zone-14,4.6,1465,28.6105,77.2025,https://source.unsplash.com/featured/800x500/?Delhi+Zipline+Zone+14+delhi+Adventure+India+travel
255,Delhi Sun Sand Bay 15,Beach,0.6 km,2-3 hrs,Delhi Central Loop,/delhi/delhi/delhi-sun-sand-bay-15,4.5,619,28.5714,77.1612,https://source.unsplash.com/featured/800x500/?Delhi+Sun+Sand+Bay+15+delhi+Beach+India+travel
256,Delhi Eco Trail 16,Wildlife,1.3 Km,Half day,Delhi Central Loop,/delhi/delhi/delhi-eco-trail-16,4.4,1041,28.5756,77.2432,https://source.unsplash.com/featured/800x500/?Delhi+Eco+Trail+16+delhi+Wildlife+India+travel
257,Delhi Temple Circuit 17,Spiritual,1.7 Km,30 min,Delhi Central Loop,/delhi/delhi/delhi-temple-circuit-17,4.7,1018,28.5719,77.2381,https://source.unsplash.com/featured/800x500/?Delhi+Temple+Circuit+17+delhi+Spiritual+India+travel
258,Delhi Leisure Garden 18,Family,2.4 Km,1 hr,Delhi Central Loop,/delhi/delhi/delhi-leisure-garden-18,4.6,1457,28.6442,77.1958,https://source.unsplash.com/featured/800x500/?Delhi+Leisure+Garden+18+delhi+Family+India+travel
259,Delhi Craft Lane 19,Shopping,2.8 Km,1-2 hrs,Delhi Central Loop,/delhi/delhi/delhi-craft-lane-19,4.8,1027,28.5925,77.2223,https://source.unsplash.com/featured/800x500/?Delhi+Craft+Lane+19+delhi+Shopping+India+travel
260,Delhi Market Bites 20,Food,3.2 Km,2-3 hrs,Delhi Central Loop,/delhi/delhi/delhi-market-bites-20,4.6,1755,28.6277,77.1831,https://source.unsplash.com/featured/800x500/?Delhi+Market+Bites+20+delhi+Food+India+travel
261,Delhi Heritage Trail 21,Heritage,3.9 Km,Half day,Delhi Central Loop,/delhi/delhi/delhi-heritage-trail-21,4.8,1244,28.5672,77.1543,https://source.unsplash.com/featured/800x500/?Delhi+Heritage+Trail+21+delhi+Heritage+India+travel
262,Delhi Legacy Lane 22,Historic,4.4 Km,30 min,Delhi Central Loop,/delhi/delhi/delhi-legacy-lane-22,4.6,816,28.5625,77.1857,https://source.unsplash.com/featured/800x500/?Delhi+Legacy+Lane+22+delhi+Historic+India+travel
263,Delhi Cultural House 23,Museum,5.1 Km,1 hr,Delhi Central Loop,/delhi/delhi/delhi-cultural-house-23,4.6,1099,28.6345,77.2556,https://source.unsplash.com/featured/800x500/?Delhi+Cultural+House+23+delhi+Museum+India+travel
264,Delhi Forest View 24,Nature,5.6 Km,1-2 hrs,Delhi Central Loop,/delhi/delhi/delhi-forest-view-24,4.7,1008,28.6057,77.2139,https://source.unsplash.com/featured/800x500/?Delhi+Forest+View+24+delhi+Nature+India+travel
265,Delhi Scenic Point 25,Scenic,6.0 Km,2-3 hrs,Delhi Central Loop,/delhi/delhi/delhi-scenic-point-25,4.7,1905,28.5668,77.1723,https://source.unsplash.com/featured/800x500/?Delhi+Scenic+Point+25+delhi+Scenic+India+travel
266,Delhi Zipline Zone 26,Adventure,6.6 Km,Half day,Delhi Central Loop,/delhi/delhi/delhi-zipline-zone-26,4.6,1587,28.6602,77.2023,https://source.unsplash.com/featured/800x500/?Delhi+Zipline+Zone+26+delhi+Adventure+India+travel
267,Delhi Sun Sand Bay 27,Beach,7.2 Km,30 min,Delhi Central Loop,/delhi/delhi/delhi-sun-sand-bay-27,4.6,867,28.6626,77.2091,https://source.unsplash.com/featured/800x500/?Delhi+Sun+Sand+Bay+27+delhi+Beach+India+travel
268,Delhi Eco Trail 28,Wildlife,7.8 Km,1 hr,Delhi Central Loop,/delhi/delhi/delhi-eco-trail-28,4.6,1277,28.6567,77.2348,https://source.unsplash.com/featured/800x500/?Delhi+Eco+Trail+28+delhi+Wildlife+India+travel
269,Delhi Temple Circuit 29,Spiritual,8.3 Km,1-2 hrs,Delhi Central Loop,/delhi/delhi/delhi-temple-circuit-29,4.6,1383,28.6647,77.246,https://source.unsplash.com/featured/800x500/?Delhi+Temple+Circuit+29+delhi+Spiritual+India+travel
270,Delhi Leisure Garden 30,Family,8.7 Km,2-3 hrs,Delhi Central Loop,/delhi/delhi/delhi-leisure-garden-30,4.5,1760,28.6223,77.2379,https://source.unsplash.com/featured/800x500/?Delhi+Leisure+Garden+30+delhi+Family+India+travel
271,Goa Zipline Zone 01,Adventure,3.4 Km,30 min,Goa Central Loop,/goa/goa/goa-zipline-zone-01,4.0,1212,15.3451,74.089,https://source.unsplash.com/featured/800x500/?Goa+Zipline+Zone+01+goa+Adventure+India+travel
272,Goa Sun Sand Bay 02,Beach,3.9 Km,1 hr,Goa Central Loop,/goa/goa/goa-sun-sand-bay-02,4.0,442,15.3509,74.1207,https://source.unsplash.com/featured/800x500/?Goa+Sun+Sand+Bay+02+goa+Beach+India+travel
273,Goa Eco Trail 03,Wildlife,4.5 Km,1-2 hrs,Goa Central Loop,/goa/goa/goa-eco-trail-03,4.0,1071,15.3387,74.1053,https://source.unsplash.com/featured/800x500/?Goa+Eco+Trail+03+goa+Wildlife+India+travel
274,Goa Temple Circuit 04,Spiritual,5.0 Km,2-3 hrs,Goa Central Loop,/goa/goa/goa-temple-circuit-04,4.1,936,15.3338,74.1295,https://source.unsplash.com/featured/800x500/?Goa+Temple+Circuit+04+goa+Spiritual+India+travel
275,Goa Leisure Garden 05,Family,5.7 Km,Half day,Goa Central Loop,/goa/goa/goa-leisure-garden-05,4.3,299,15.2571,74.154,https://source.unsplash.com/featured/800x500/?Goa+Leisure+Garden+05+goa+Family+India+travel
276,Goa Craft Lane 06,Shopping,6.1 Km,30 min,Goa Central Loop,/goa/goa/goa-craft-lane-06,4.1,1060,15.3166,74.1287,https://source.unsplash.com/featured/800x500/?Goa+Craft+Lane+06+goa+Shopping+India+travel
277,Goa Market Bites 07,Food,6.6 Km,1 hr,Goa Central Loop,/goa/goa/goa-market-bites-07,4.1,889,15.3128,74.1238,https://source.unsplash.com/featured/800x500/?Goa+Market+Bites+07+goa+Food+India+travel
278,Goa Heritage Trail 08,Heritage,7.2 Km,1-2 hrs,Goa Central Loop,/goa/goa/goa-heritage-trail-08,4.1,614,15.3047,74.171,https://source.unsplash.com/featured/800x500/?Goa+Heritage+Trail+08+goa+Heritage+India+travel
279,Goa Legacy Lane 09,Historic,7.9 Km,2-3 hrs,Goa Central Loop,/goa/goa/goa-legacy-lane-09,4.1,1025,15.2475,74.1383,https://source.unsplash.com/featured/800x500/?Goa+Legacy+Lane+09+goa+Historic+India+travel
280,Goa Cultural House 10,Museum,8.1 Km,Half day,Goa Central Loop,/goa/goa/goa-cultural-house-10,4.3,644,15.3049,74.1297,https://source.unsplash.com/featured/800x500/?Goa+Cultural+House+10+goa+Museum+India+travel
281,Goa Forest View 11,Nature,9.0 Km,30 min,Goa Central Loop,/goa/goa/goa-forest-view-11,4.1,1032,15.2951,74.0819,https://source.unsplash.com/featured/800x500/?Goa+Forest+View+11+goa+Nature+India+travel
282,Goa Scenic Point 12,Scenic,9.5 Km,1 hr,Goa Central Loop,/goa/goa/goa-scenic-point-12,4.4,957,15.3003,74.0991,https://source.unsplash.com/featured/800x500/?Goa+Scenic+Point+12+goa+Scenic+India+travel
283,Goa Zipline Zone 13,Adventure,9.8 Km,1-2 hrs,Goa Central Loop,/goa/goa/goa-zipline-zone-13,4.3,760,15.2945,74.0849,https://source.unsplash.com/featured/800x500/?Goa+Zipline+Zone+13+goa+Adventure+India+travel
284,Goa Sun Sand Bay 14,Beach,0.7 km,2-3 hrs,Goa Central Loop,/goa/goa/goa-sun-sand-bay-14,4.3,1543,15.3393,74.0994,https://source.unsplash.com/featured/800x500/?Goa+Sun+Sand+Bay+14+goa+Beach+India+travel
285,Goa Eco Trail 15,Wildlife,1.2 Km,Half day,Goa Central Loop,/goa/goa/goa-eco-trail-15,4.1,1714,15.2737,74.0693,https://source.unsplash.com/featured/800x500/?Goa+Eco+Trail+15+goa+Wildlife+India+travel
286,Goa Temple Circuit 16,Spiritual,1.6 Km,30 min,Goa Central Loop,/goa/goa/goa-temple-circuit-16,4.1,1256,15.3542,74.1229,https://source.unsplash.com/featured/800x500/?Goa+Temple+Circuit+16+goa+Spiritual+India+travel
287,Goa Leisure Garden 17,Family,2.2 Km,1 hr,Goa Central Loop,/goa/goa/goa-leisure-garden-17,4.3,959,15.2809,74.1529,https://source.unsplash.com/featured/800x500/?Goa+Leisure+Garden+17+goa+Family+India+travel
288,Goa Craft Lane 18,Shopping,2.8 Km,1-2 hrs,Goa Central Loop,/goa/goa/goa-craft-lane-18,4.3,1437,15.3522,74.0953,https://source.unsplash.com/featured/800x500/?Goa+Craft+Lane+18+goa+Shopping+India+travel
289,Goa Market Bites 19,Food,3.4 Km,2-3 hrs,Goa Central Loop,/goa/goa/goa-market-bites-19,4.3,1409,15.2491,74.1509,https://source.unsplash.com/featured/800x500/?Goa+Market+Bites+19+goa+Food+India+travel
290,Goa Heritage Trail 20,Heritage,4.0 Km,Half day,Goa Central Loop,/goa/goa/goa-heritage-trail-20,4.1,717,15.353,74.1562,https://source.unsplash.com/featured/800x500/?Goa+Heritage+Trail+20+goa+Heritage+India+travel
291,Goa Legacy Lane 21,Historic,4.4 Km,30 min,Goa Central Loop,/goa/goa/goa-legacy-lane-21,4.2,1566,15.2582,74.1752,https://source.unsplash.com/featured/800x500/?Goa+Legacy+Lane+21+goa+Historic+India+travel
292,Goa Cultural House 22,Museum,4.8 Km,1 hr,Goa Central Loop,/goa/goa/goa-cultural-house-22,3.9,1004,15.2553,74.1691,https://source.unsplash.com/featured/800x500/?Goa+Cultural+House+22+goa+Museum+India+travel
293,Goa Forest View 23,Nature,5.5 Km,1-2 hrs,Goa Central Loop,/goa/goa/goa-forest-view-23,4.1,1525,15.2525,74.155,https://source.unsplash.com/featured/800x500/?Goa+Forest+View+23+goa+Nature+India+travel
294,Goa Scenic Point 24,Scenic,6.2 Km,2-3 hrs,Goa Central Loop,/goa/goa/goa-scenic-point-24,4.2,1512,15.3158,74.1627,https://source.unsplash.com/featured/800x500/?Goa+Scenic+Point+24+goa+Scenic+India+travel
295,Goa Zipline Zone 25,Adventure,6.8 Km,Half day,Goa Central Loop,/goa/goa/goa-zipline-zone-25,4.1,1865,15.3493,74.1379,https://source.unsplash.com/featured/800x500/?Goa+Zipline+Zone+25+goa+Adventure+India+travel
296,Goa Sun Sand Bay 26,Beach,7.3 Km,30 min,Goa Central Loop,/goa/goa/goa-sun-sand-bay-26,4.4,1245,15.2482,74.0765,https://source.unsplash.com/featured/800x500/?Goa+Sun+Sand+Bay+26+goa+Beach+India+travel
297,Goa Eco Trail 27,Wildlife,7.6 Km,1 hr,Goa Central Loop,/goa/goa/goa-eco-trail-27,4.3,1008,15.3264,74.1167,https://source.unsplash.com/featured/800x500/?Goa+Eco+Trail+27+goa+Wildlife+India+travel
298,Goa Temple Circuit 28,Spiritual,8.5 Km,1-2 hrs,Goa Central Loop,/goa/goa/goa-temple-circuit-28,4.1,940,15.2931,74.1453,https://source.unsplash.com/featured/800x500/?Goa+Temple+Circuit+28+goa+Spiritual+India+travel
299,Goa Leisure Garden 29,Family,8.7 Km,2-3 hrs,Goa Central Loop,/goa/goa/goa-leisure-garden-29,4.0,2008,15.2766,74.1102,https://source.unsplash.com/featured/800x500/?Goa+Leisure+Garden+29+goa+Family+India+travel
300,Goa Craft Lane 30,Shopping,9.3 Km,Half day,Goa Central Loop,/goa/goa/goa-craft-lane-30,4.1,1655,15.3193,74.0888,https://source.unsplash.com/featured/800x500/?Goa+Craft+Lane+30+goa+Shopping+India+travel
301,Hyderabad Sun Sand Bay 01,Beach,4.1 Km,1 hr,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-sun-sand-bay-01,4.0,1166,17.3982,78.4582,https://source.unsplash.com/featured/800x500/?Hyderabad+Sun+Sand+Bay+01+hyderabad+Beach+India+travel
302,Hyderabad Eco Trail 02,Wildlife,4.5 Km,1-2 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-eco-trail-02,4.3,1197,17.4002,78.4823,https://source.unsplash.com/featured/800x500/?Hyderabad+Eco+Trail+02+hyderabad+Wildlife+India+travel
303,Hyderabad Temple Circuit 03,Spiritual,4.9 Km,2-3 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-temple-circuit-03,4.2,975,17.4291,78.5062,https://source.unsplash.com/featured/800x500/?Hyderabad+Temple+Circuit+03+hyderabad+Spiritual+India+travel
304,Hyderabad Leisure Garden 04,Family,5.7 Km,Half day,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-leisure-garden-04,4.3,1226,17.4386,78.4646,https://source.unsplash.com/featured/800x500/?Hyderabad+Leisure+Garden+04+hyderabad+Family+India+travel
305,Hyderabad Craft Lane 05,Shopping,6.1 Km,30 min,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-craft-lane-05,4.3,799,17.423,78.4536,https://source.unsplash.com/featured/800x500/?Hyderabad+Craft+Lane+05+hyderabad+Shopping+India+travel
306,Hyderabad Market Bites 06,Food,6.6 Km,1 hr,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-market-bites-06,4.4,381,17.372,78.4712,https://source.unsplash.com/featured/800x500/?Hyderabad+Market+Bites+06+hyderabad+Food+India+travel
307,Hyderabad Heritage Trail 07,Heritage,7.1 Km,1-2 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-heritage-trail-07,4.4,460,17.4376,78.5041,https://source.unsplash.com/featured/800x500/?Hyderabad+Heritage+Trail+07+hyderabad+Heritage+India+travel
308,Hyderabad Legacy Lane 08,Historic,7.9 Km,2-3 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-legacy-lane-08,4.3,854,17.4302,78.5137,https://source.unsplash.com/featured/800x500/?Hyderabad+Legacy+Lane+08+hyderabad+Historic+India+travel
309,Hyderabad Cultural House 09,Museum,8.4 Km,Half day,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-cultural-house-09,4.2,686,17.3968,78.4705,https://source.unsplash.com/featured/800x500/?Hyderabad+Cultural+House+09+hyderabad+Museum+India+travel
310,Hyderabad Forest View 10,Nature,8.9 Km,30 min,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-forest-view-10,4.2,1331,17.3991,78.5311,https://source.unsplash.com/featured/800x500/?Hyderabad+Forest+View+10+hyderabad+Nature+India+travel
311,Hyderabad Scenic Point 11,Scenic,9.3 Km,1 hr,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-scenic-point-11,4.4,1121,17.3337,78.4718,https://source.unsplash.com/featured/800x500/?Hyderabad+Scenic+Point+11+hyderabad+Scenic+India+travel
312,Hyderabad Zipline Zone 12,Adventure,9.8 Km,1-2 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-zipline-zone-12,4.3,1224,17.4122,78.451,https://source.unsplash.com/featured/800x500/?Hyderabad+Zipline+Zone+12+hyderabad+Adventure+India+travel
313,Hyderabad Sun Sand Bay 13,Beach,0.7 km,2-3 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-sun-sand-bay-13,4.3,1484,17.3884,78.5322,https://source.unsplash.com/featured/800x500/?Hyderabad+Sun+Sand+Bay+13+hyderabad+Beach+India+travel
314,Hyderabad Eco Trail 14,Wildlife,1.3 Km,Half day,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-eco-trail-14,4.5,1480,17.4364,78.4642,https://source.unsplash.com/featured/800x500/?Hyderabad+Eco+Trail+14+hyderabad+Wildlife+India+travel
315,Hyderabad Temple Circuit 15,Spiritual,1.9 Km,30 min,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-temple-circuit-15,4.2,1357,17.4359,78.4472,https://source.unsplash.com/featured/800x500/?Hyderabad+Temple+Circuit+15+hyderabad+Spiritual+India+travel
316,Hyderabad Leisure Garden 16,Family,2.2 Km,1 hr,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-leisure-garden-16,4.3,595,17.4364,78.5202,https://source.unsplash.com/featured/800x500/?Hyderabad+Leisure+Garden+16+hyderabad+Family+India+travel
317,Hyderabad Craft Lane 17,Shopping,2.7 Km,1-2 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-craft-lane-17,4.3,1126,17.3591,78.4453,https://source.unsplash.com/featured/800x500/?Hyderabad+Craft+Lane+17+hyderabad+Shopping+India+travel
318,Hyderabad Market Bites 18,Food,3.5 Km,2-3 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-market-bites-18,4.1,1091,17.3943,78.5222,https://source.unsplash.com/featured/800x500/?Hyderabad+Market+Bites+18+hyderabad+Food+India+travel
319,Hyderabad Heritage Trail 19,Heritage,4.1 Km,Half day,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-heritage-trail-19,4.3,1089,17.3819,78.4999,https://source.unsplash.com/featured/800x500/?Hyderabad+Heritage+Trail+19+hyderabad+Heritage+India+travel
320,Hyderabad Legacy Lane 20,Historic,4.4 Km,30 min,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-legacy-lane-20,4.4,1495,17.4012,78.5016,https://source.unsplash.com/featured/800x500/?Hyderabad+Legacy+Lane+20+hyderabad+Historic+India+travel
321,Hyderabad Cultural House 21,Museum,4.8 Km,1 hr,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-cultural-house-21,4.6,919,17.3428,78.4367,https://source.unsplash.com/featured/800x500/?Hyderabad+Cultural+House+21+hyderabad+Museum+India+travel
322,Hyderabad Forest View 22,Nature,5.4 Km,1-2 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-forest-view-22,4.1,1811,17.3407,78.5293,https://source.unsplash.com/featured/800x500/?Hyderabad+Forest+View+22+hyderabad+Nature+India+travel
323,Hyderabad Scenic Point 23,Scenic,6.0 Km,2-3 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-scenic-point-23,4.1,930,17.3761,78.5133,https://source.unsplash.com/featured/800x500/?Hyderabad+Scenic+Point+23+hyderabad+Scenic+India+travel
324,Hyderabad Zipline Zone 24,Adventure,6.8 Km,Half day,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-zipline-zone-24,4.1,1509,17.4217,78.4994,https://source.unsplash.com/featured/800x500/?Hyderabad+Zipline+Zone+24+hyderabad+Adventure+India+travel
325,Hyderabad Sun Sand Bay 25,Beach,7.1 Km,30 min,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-sun-sand-bay-25,4.2,1526,17.3539,78.4806,https://source.unsplash.com/featured/800x500/?Hyderabad+Sun+Sand+Bay+25+hyderabad+Beach+India+travel
326,Hyderabad Eco Trail 26,Wildlife,7.7 Km,1 hr,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-eco-trail-26,4.3,1185,17.3899,78.5393,https://source.unsplash.com/featured/800x500/?Hyderabad+Eco+Trail+26+hyderabad+Wildlife+India+travel
327,Hyderabad Temple Circuit 27,Spiritual,8.4 Km,1-2 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-temple-circuit-27,4.2,1254,17.4365,78.5361,https://source.unsplash.com/featured/800x500/?Hyderabad+Temple+Circuit+27+hyderabad+Spiritual+India+travel
328,Hyderabad Leisure Garden 28,Family,8.7 Km,2-3 hrs,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-leisure-garden-28,4.5,1341,17.4006,78.4974,https://source.unsplash.com/featured/800x500/?Hyderabad+Leisure+Garden+28+hyderabad+Family+India+travel
329,Hyderabad Craft Lane 29,Shopping,9.3 Km,Half day,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-craft-lane-29,4.2,2001,17.4388,78.5183,https://source.unsplash.com/featured/800x500/?Hyderabad+Craft+Lane+29+hyderabad+Shopping+India+travel
330,Hyderabad Market Bites 30,Food,10.1 Km,30 min,Hyderabad Central Loop,/telangana/hyderabad/hyderabad-market-bites-30,4.1,1191,17.3528,78.4555,https://source.unsplash.com/featured/800x500/?Hyderabad+Market+Bites+30+hyderabad+Food+India+travel
331,Jaipur Eco Trail 01,Wildlife,4.4 Km,1-2 hrs,Jaipur Central Loop,/rajasthan/jaipur/jaipur-eco-trail-01,4.4,505,26.9442,75.7979,https://source.unsplash.com/featured/800x500/?Jaipur+Eco+Trail+01+jaipur+Wildlife+India+travel
332,Jaipur Temple Circuit 02,Spiritual,4.8 Km,2-3 hrs,Jaipur Central Loop,/rajasthan/jaipur/jaipur-temple-circuit-02,4.4,531,26.9168,75.8201,https://source.unsplash.com/featured/800x500/?Jaipur+Temple+Circuit+02+jaipur+Spiritual+India+travel
333,Jaipur Leisure Garden 03,Family,5.4 Km,Half day,Jaipur Central Loop,/rajasthan/jaipur/jaipur-leisure-garden-03,4.3,641,26.859,75.8192,https://source.unsplash.com/featured/800x500/?Jaipur+Leisure+Garden+03+jaipur+Family+India+travel
334,Jaipur Craft Lane 04,Shopping,6.1 Km,30 min,Jaipur Central Loop,/rajasthan/jaipur/jaipur-craft-lane-04,4.3,438,26.8866,75.7462,https://source.unsplash.com/featured/800x500/?Jaipur+Craft+Lane+04+jaipur+Shopping+India+travel
335,Jaipur Market Bites 05,Food,6.7 Km,1 hr,Jaipur Central Loop,/rajasthan/jaipur/jaipur-market-bites-05,4.3,1362,26.9098,75.8179,https://source.unsplash.com/featured/800x500/?Jaipur+Market+Bites+05+jaipur+Food+India+travel
336,Jaipur Heritage Trail 06,Heritage,7.3 Km,1-2 hrs,Jaipur Central Loop,/rajasthan/jaipur/jaipur-heritage-trail-06,4.6,1421,26.8818,75.8,https://source.unsplash.com/featured/800x500/?Jaipur+Heritage+Trail+06+jaipur+Heritage+India+travel
337,Jaipur Legacy Lane 07,Historic,7.6 Km,2-3 hrs,Jaipur Central Loop,/rajasthan/jaipur/jaipur-legacy-lane-07,4.7,1199,26.8906,75.8031,https://source.unsplash.com/featured/800x500/?Jaipur+Legacy+Lane+07+jaipur+Historic+India+travel
338,Jaipur Cultural House 08,Museum,8.4 Km,Half day,Jaipur Central Loop,/rajasthan/jaipur/jaipur-cultural-house-08,4.2,565,26.9043,75.7442,https://source.unsplash.com/featured/800x500/?Jaipur+Cultural+House+08+jaipur+Museum+India+travel
339,Jaipur Forest View 09,Nature,8.7 Km,30 min,Jaipur Central Loop,/rajasthan/jaipur/jaipur-forest-view-09,4.3,1621,26.8928,75.7486,https://source.unsplash.com/featured/800x500/?Jaipur+Forest+View+09+jaipur+Nature+India+travel
340,Jaipur Scenic Point 10,Scenic,9.6 Km,1 hr,Jaipur Central Loop,/rajasthan/jaipur/jaipur-scenic-point-10,4.4,1375,26.9177,75.7681,https://source.unsplash.com/featured/800x500/?Jaipur+Scenic+Point+10+jaipur+Scenic+India+travel
341,Jaipur Zipline Zone 11,Adventure,10.1 Km,1-2 hrs,Jaipur Central Loop,/rajasthan/jaipur/jaipur-zipline-zone-11,4.3,1598,26.913,75.7796,https://source.unsplash.com/featured/800x500/?Jaipur+Zipline+Zone+11+jaipur+Adventure+India+travel
342,Jaipur Sun Sand Bay 12,Beach,0.6 km,2-3 hrs,Jaipur Central Loop,/rajasthan/jaipur/jaipur-sun-sand-bay-12,4.3,1186,26.9367,75.756,https://source.unsplash.com/featured/800x500/?Jaipur+Sun+Sand+Bay+12+jaipur+Beach+India+travel
343,Jaipur Eco Trail 13,Wildlife,1.2 Km,Half day,Jaipur Central Loop,/rajasthan/jaipur/jaipur-eco-trail-13,4.4,1155,26.9484,75.7762,https://source.unsplash.com/featured/800x500/?Jaipur+Eco+Trail+13+jaipur+Wildlife+India+travel
344,Jaipur Temple Circuit 14,Spiritual,1.6 Km,30 min,Jaipur Central Loop,/rajasthan/jaipur/jaipur-temple-circuit-14,4.7,675,26.9306,75.7735,https://source.unsplash.com/featured/800x500/?Jaipur+Temple+Circuit+14+jaipur+Spiritual+India+travel
